[0000004756ns] mycpu : pc = 1c0007b8, inst = 29803061, reg = 00, val = 00202cac
[0000004758ns] mycpu : pc = 1c0007bc, inst = 00150096, reg = 22, val = 00001a00
[0000004770ns] mycpu : pc = 1c0007c0, inst = 28000084, reg = 04, val = 0000000a
[0000004776ns] mycpu : pc = 1c0007c4, inst = 58001480, reg = 00, val = 00000000
[0000004778ns] mycpu : pc = 1c0007c8, inst = 028006d6, reg = 22, val = 00001a01
[0000004780ns] mycpu : pc = 1c0007cc, inst = 57fe1bff, reg = 01, val = 1c0007d0
[0000004832ns] mycpu : pc = 1c0005e4, inst = 02bfa063, reg = 03, val = 00202c88
[0000004842ns] mycpu : pc = 1c0005e8, inst = 29805061, reg = 00, val = 00202c9c
[0000004890ns] mycpu : pc = 1c0005ec, inst = 29804076, reg = 00, val = 00202c98
[0000004892ns] mycpu : pc = 1c0005f0, inst = 00150076, reg = 22, val = 00202c88
[0000004896ns] mycpu : pc = 1c0005f4, inst = 29000064, reg = 00, val = 00202c88
[0000004918ns] mycpu : pc = 1c0005f8, inst = 29000460, reg = 00, val = 00202c89
[0000004920ns] mycpu : pc = 1c0005fc, inst = 00150064, reg = 04, val = 00202c88
[0000004922ns] mycpu : pc = 1c000600, inst = 57ffd3ff, reg = 01, val = 1c000604
[0000004948ns] mycpu : pc = 1c0005d0, inst = 1dc8004c, reg = 12, val = 000025d0
[0000004980ns] mycpu : pc = 1c0005d4, inst = 2899f18c, reg = 12, val = 00001500
[0000004984ns] mycpu : pc = 1c0005d8, inst = 0280318c, reg = 12, val = 0000150c
[0000005008ns] mycpu : pc = 1c0005dc, inst = 2880018d, reg = 13, val = 1c0004b0
[0000005014ns] mycpu : pc = 1c0005e0, inst = 4c0001a0, reg = 00, val = 1c0005e4
[0000005026ns] mycpu : pc = 1c0004b0, inst = 157f5fed, reg = 13, val = bfaff000
[0000005036ns] mycpu : pc = 1c0004b4, inst = 03bc41ad, reg = 13, val = bfafff10
[0000005038ns] mycpu : pc = 1c0004b8, inst = 2800008c, reg = 12, val = 0000000a
[0000005042ns] mycpu : pc = 1c0004bc, inst = 298001ac, reg = 00, val = bfafff10
[0000005050ns] mycpu : pc = 1c0004c0, inst = 4c000020, reg = 00, val = 1c0004c4
[0000005062ns] mycpu : pc = 1c000604, inst = 001502c3, reg = 03, val = 00202c88
[0000005064ns] mycpu : pc = 1c000608, inst = 28805061, reg = 01, val = 1c0007d0
[0000005066ns] mycpu : pc = 1c00060c, inst = 28804076, reg = 22, val = 00001a01
[0000005078ns] mycpu : pc = 1c000610, inst = 02806063, reg = 03, val = 00202ca0
[0000005092ns] mycpu : pc = 1c000614, inst = 4c000020, reg = 00, val = 1c000618
[0000005096ns] mycpu : pc = 1c0007d0, inst = 280002c4, reg = 04, val = 00000073
[0000005102ns] mycpu : pc = 1c0007d4, inst = 5ffff480, reg = 00, val = 00000000
[0000005106ns] mycpu : pc = 1c0007c8, inst = 028006d6, reg = 22, val = 00001a02
